0,Latitude,Longitude,Latitude,Longitude,0,0
2.27,1.353375808,103.840735,1.350898,103.848077,4.0,8.64
,1.352077981,103.8434976,1.348441915,103.8473653,,
,1.352018989,103.8465661,1.348007,103.8498598,,
,1.352501652,103.8478643,1.35057,103.850626,,
,1.350898,103.848077,1.351785702,103.8524938,,
,,,1.35213161,103.8525286,,
,,,1.352936049,103.8520056,,
